Coding_Interest,Mathematics_Interest,Analytical_Thinking,Problem_Solving,Creativity,Communication_Skills,Leadership,Attention_To_Detail,Research_Interest,Business_Interest,Design_Interest,Learning_New_Technology,Teamwork,Independent_Work,Risk_Taking,Career
46,38,66,55,83,58,64,69,62,47,100,69,51,76,51,UI UX Designer
58,57,71,82,80,78,77,71,68,80,51,66,92,55,54,Product Manager
84,73,85,85,48,74,68,93,49,50,24,82,60,82,44,Software Engineer
67,62,67,88,51,67,53,95,56,34,30,73,72,91,41,Cybersecurity Analyst
70,77,87,58,77,69,43,88,100,39,42,79,69,72,58,AI Researcher
74,58,72,85,54,62,59,80,68,58,29,76,51,87,71,Cybersecurity Analyst
48,63,62,70,62,86,80,75,52,70,44,74,75,59,62,Product Manager
42,33,62,74,80,89,54,78,45,48,95,67,69,65,41,UI UX Designer
55,41,71,79,76,89,78,53,65,74,65,71,79,54,67,Product Manager
76,80,87,84,60,59,43,68,88,29,33,84,68,97,56,AI Researcher
49,40,56,75,80,82,49,64,53,39,87,60,62,62,54,UI UX Designer
83,94,86,81,58,56,64,68,81,32,43,76,60,68,30,AI Researcher
52,54,76,70,71,71,47,96,65,71,39,77,71,89,67,Cybersecurity Analyst
51,44,91,85,69,98,86,61,68,85,66,53,76,70,80,Product Manager
74,76,72,74,58,56,55,94,61,42,40,70,41,76,68,Cybersecurity Analyst
50,56,78,74,70,76,50,92,68,79,57,68,76,54,59,Business Analyst
90,92,76,72,64,50,36,61,80,49,47,90,58,67,53,Machine Learning Engineer
78,59,73,97,44,59,75,65,62,60,44,85,86,57,53,Cloud DevOps Engineer
50,70,66,84,66,80,80,55,67,71,72,57,88,55,67,Product Manager
40,40,54,65,82,68,59,66,54,53,80,82,77,51,34,UI UX Designer
65,48,69,80,75,95,85,60,79,86,56,66,83,53,53,Product Manager
52,65,86,67,34,66,62,80,52,73,42,57,66,69,72,Data Analyst
51,58,68,83,64,59,49,85,67,39,27,56,69,83,65,Cybersecurity Analyst
81,93,91,85,67,75,52,80,92,40,37,89,54,80,53,AI Researcher
74,85,88,86,64,60,76,78,79,50,43,87,60,76,69,AI Researcher
95,93,81,73,76,63,44,75,63,59,27,85,64,77,59,Machine Learning Engineer
99,54,74,96,58,58,48,63,74,26,60,67,63,61,58,Software Engineer
78,68,76,85,73,70,47,81,66,77,51,63,78,59,58,Data Analyst
37,27,53,60,82,72,51,81,54,54,88,55,63,50,73,UI UX Designer
53,60,82,62,59,90,64,76,66,88,48,68,76,64,56,Business Analyst
29,56,56,62,90,60,52,62,62,70,87,63,67,74,59,UI UX Designer
77,72,87,69,78,55,50,73,73,56,48,80,69,66,54,Data Scientist
63,56,83,75,52,71,57,95,76,36,47,84,72,87,71,Cybersecurity Analyst
57,48,89,79,58,82,74,69,48,80,47,60,83,49,44,Business Analyst
56,49,91,73,68,87,84,73,58,79,60,48,65,60,50,Business Analyst
68,76,72,92,46,57,61,76,69,62,45,91,66,67,46,Data Scientist
88,94,88,94,73,59,38,64,58,37,41,83,60,72,55,Machine Learning Engineer
80,70,62,83,56,78,68,61,58,47,40,80,58,55,58,Software Engineer
64,54,81,77,67,98,77,70,68,80,64,74,84,60,66,Product Manager
74,67,70,84,45,59,68,82,58,22,38,84,76,68,53,Cloud DevOps Engineer
75,85,86,88,62,66,54,76,65,46,58,52,61,79,54,Data Scientist
77,64,57,69,47,61,52,73,59,64,62,75,79,66,58,Cloud DevOps Engineer
46,63,76,65,67,58,61,61,54,84,43,57,82,58,70,Business Analyst
94,86,80,91,68,72,32,79,80,39,42,92,55,72,67,Machine Learning Engineer
63,91,98,84,39,57,58,66,88,61,35,72,54,66,49,Data Scientist
44,57,74,80,63,96,62,70,73,85,36,65,75,42,45,Business Analyst
33,51,56,88,94,69,58,58,67,40,90,58,62,63,56,UI UX Designer
89,100,85,99,60,57,59,68,93,37,24,64,52,85,46,AI Researcher
85,95,80,84,53,53,50,84,93,42,42,82,58,78,50,AI Researcher
76,76,74,98,50,52,46,46,55,40,47,81,82,74,46,Software Engineer
77,100,86,73,56,62,49,78,80,64,39,83,61,59,77,Data Scientist
89,86,79,81,77,52,48,68,95,45,46,91,41,77,56,AI Researcher
81,92,83,88,75,53,49,75,68,46,44,84,74,54,69,Machine Learning Engineer
63,74,89,81,46,67,60,78,60,69,53,46,71,60,55,Data Analyst
78,88,75,90,65,71,59,81,70,56,58,82,78,63,49,Machine Learning Engineer
77,79,83,77,53,62,44,79,77,52,51,88,76,76,53,Machine Learning Engineer
100,91,85,78,64,60,55,67,76,40,21,92,48,69,61,Machine Learning Engineer
81,69,86,75,56,71,54,52,70,65,46,86,77,65,80,Data Scientist
77,50,89,69,48,65,62,77,55,48,59,82,56,63,63,Cybersecurity Analyst
43,62,65,58,68,94,62,62,66,69,56,55,75,51,55,Product Manager
93,78,78,88,55,56,49,65,84,38,43,88,53,69,49,Machine Learning Engineer
79,65,69,97,62,64,62,67,57,46,44,78,72,65,59,Software Engineer
78,56,71,100,50,76,69,60,66,64,41,76,60,56,46,Software Engineer
54,43,53,69,93,70,50,83,56,64,86,58,60,63,55,UI UX Designer
53,72,88,78,46,85,63,69,56,81,39,62,71,60,58,Business Analyst
35,45,67,67,87,65,72,76,62,51,86,65,65,62,58,UI UX Designer
80,85,84,72,74,59,53,68,89,43,32,76,67,70,62,AI Researcher
57,50,61,50,88,84,54,72,56,46,86,65,81,77,47,UI UX Designer
68,66,68,87,72,98,84,60,53,80,52,76,82,39,67,Product Manager
47,34,56,66,84,72,46,83,72,45,95,63,60,61,56,UI UX Designer
83,57,78,75,66,68,58,72,58,66,42,84,76,73,65,Cloud DevOps Engineer
74,91,74,83,66,52,50,69,85,49,47,82,51,77,56,AI Researcher
65,92,83,86,65,59,51,72,88,31,42,88,50,95,64,AI Researcher
48,71,82,71,48,67,62,80,48,72,43,62,79,62,51,Data Analyst
45,58,72,71,63,69,59,92,65,69,31,62,73,53,74,Business Analyst
46,48,82,69,55,88,77,62,60,79,48,40,60,57,60,Business Analyst
70,52,67,89,55,52,81,61,53,63,44,81,68,56,49,Cloud DevOps Engineer
62,54,78,72,71,84,84,74,49,72,62,78,94,43,61,Product Manager
62,60,79,58,57,72,66,81,53,84,55,62,68,58,62,Business Analyst
38,42,78,91,76,96,79,59,64,89,45,63,82,48,60,Product Manager
46,22,67,62,81,73,48,85,50,70,94,77,59,81,43,UI UX Designer
76,63,80,70,65,71,55,61,59,39,49,76,82,64,52,Cloud DevOps Engineer
55,71,81,65,67,82,69,68,72,90,43,66,81,54,51,Business Analyst
94,82,67,77,55,47,43,56,52,48,47,90,56,74,50,Software Engineer
65,60,62,83,60,54,46,93,73,73,43,63,64,72,39,Data Analyst
81,54,75,81,45,57,65,70,56,57,47,80,71,54,58,Cloud DevOps Engineer
80,92,91,79,70,69,48,75,86,37,35,71,54,84,64,AI Researcher
40,53,85,78,60,76,55,72,59,83,42,57,73,61,64,Business Analyst
36,70,80,70,62,82,55,69,45,83,58,44,73,64,60,Business Analyst
59,52,73,70,87,86,85,63,56,73,69,72,80,46,67,Product Manager
16,32,73,78,91,76,44,73,69,52,90,63,79,75,61,UI UX Designer
94,55,82,80,48,65,54,60,61,44,46,83,79,54,73,Software Engineer
86,79,74,94,60,49,44,66,75,50,57,75,62,65,67,Machine Learning Engineer
68,40,69,81,48,56,55,80,45,44,51,87,79,59,58,Cloud DevOps Engineer
67,87,91,77,51,75,60,82,90,48,16,75,64,72,57,AI Researcher
62,48,78,87,54,43,62,74,51,43,40,75,57,92,63,Cybersecurity Analyst
85,73,71,80,52,58,51,77,60,68,49,79,85,62,70,Cloud DevOps Engineer
72,81,70,84,68,61,76,64,75,51,41,69,49,63,54,Data Scientist
90,87,80,96,66,45,71,84,98,56,62,70,48,79,55,AI Researcher
97,87,78,92,47,56,51,68,76,46,27,87,50,69,72,Machine Learning Engineer
38,35,83,64,62,91,80,63,58,84,56,66,78,59,68,Product Manager
55,55,66,71,58,85,83,43,58,74,63,71,79,60,70,Product Manager
85,89,79,96,70,67,58,62,80,52,45,89,66,92,57,Machine Learning Engineer
55,53,80,76,57,53,51,72,68,72,36,55,61,42,51,Data Analyst
77,97,93,81,62,57,53,66,83,19,38,94,37,81,58,AI Researcher
96,89,81,86,54,76,42,74,76,58,50,86,65,71,35,Machine Learning Engineer
58,71,90,66,32,70,55,84,57,66,60,65,62,57,46,Data Analyst
56,53,94,75,38,66,53,94,50,74,59,56,63,53,46,Data Analyst
75,63,79,85,58,61,65,60,65,46,43,87,72,72,65,Software Engineer
35,57,84,86,58,76,83,78,74,74,50,50,62,63,59,Business Analyst
88,87,79,87,62,84,55,81,87,55,38,77,54,73,57,AI Researcher
74,82,85,81,69,62,42,64,62,75,51,65,59,62,70,Data Scientist
47,69,85,86,78,88,72,63,79,79,73,65,63,61,76,Product Manager
74,51,67,75,62,47,46,81,73,50,46,83,55,72,51,Cybersecurity Analyst
69,55,76,77,65,86,93,65,68,68,69,51,89,59,64,Product Manager
45,58,73,72,43,82,65,73,69,84,32,55,71,55,50,Business Analyst
83,84,83,82,53,68,42,69,65,59,73,81,60,65,34,Software Engineer
80,94,88,78,56,71,50,68,96,50,29,98,50,87,80,AI Researcher
68,55,77,77,60,79,79,59,49,70,57,65,61,57,52,Business Analyst
51,29,67,75,84,80,36,84,71,51,89,68,63,89,49,UI UX Designer
30,68,86,69,59,81,47,69,59,81,40,66,66,66,58,Business Analyst
74,77,58,78,53,60,54,70,56,46,28,73,76,61,56,Cloud DevOps Engineer
65,45,74,71,53,84,82,69,76,72,50,55,76,42,39,Business Analyst
76,86,87,98,67,57,54,64,89,59,44,88,64,77,79,AI Researcher
49,40,56,63,68,81,75,77,49,87,49,55,78,61,53,Product Manager
53,71,79,78,55,44,42,87,60,43,37,67,49,69,61,Cybersecurity Analyst
62,35,71,55,69,84,92,71,55,79,62,60,82,68,58,Product Manager
81,100,95,81,78,43,57,79,94,37,41,85,34,80,51,AI Researcher
60,47,74,79,68,70,71,74,45,79,44,60,61,51,46,Business Analyst
57,70,85,66,51,83,80,72,61,72,41,54,72,44,49,Business Analyst
42,47,37,67,82,76,30,70,58,40,88,73,68,57,64,UI UX Designer
41,22,62,68,85,71,63,94,59,51,86,60,67,76,63,UI UX Designer
58,71,100,78,44,66,47,69,57,72,32,71,69,55,47,Data Analyst
74,85,85,88,55,72,63,80,73,53,44,61,76,68,58,Data Scientist
88,87,85,81,69,46,54,72,81,53,19,95,61,72,73,AI Researcher
54,69,88,80,66,63,58,63,83,65,54,88,64,70,40,Data Scientist
58,59,77,78,38,86,66,68,67,79,45,60,78,59,33,Business Analyst
88,91,87,87,54,66,43,86,74,33,29,86,63,86,48,Machine Learning Engineer
74,84,91,76,71,75,59,74,83,44,47,77,64,85,63,AI Researcher
70,55,82,80,49,81,82,69,72,81,63,45,73,45,45,Business Analyst
58,68,80,68,68,85,67,54,58,81,63,69,70,60,67,Product Manager
82,79,77,85,57,68,25,70,74,44,36,67,62,56,58,Data Scientist
62,49,80,82,62,51,32,88,59,36,27,70,72,76,52,Cybersecurity Analyst
53,82,80,84,69,64,69,68,83,63,41,78,57,64,42,Data Scientist
81,55,81,82,57,59,67,72,51,49,46,88,82,66,68,Cloud DevOps Engineer
60,47,80,76,47,61,60,81,56,65,71,72,75,66,50,Data Analyst
61,58,62,89,74,90,91,50,52,88,50,63,81,42,62,Product Manager
57,59,74,82,59,76,47,87,86,39,39,64,59,75,71,Cybersecurity Analyst
59,71,89,69,61,90,79,65,67,85,54,71,64,52,61,Business Analyst
96,85,95,72,62,51,31,70,63,46,40,93,48,76,59,Machine Learning Engineer
38,52,82,61,69,84,78,79,60,93,58,69,78,49,69,Product Manager
73,76,79,66,60,62,59,71,77,67,29,76,47,60,43,Data Scientist
72,87,87,79,68,66,48,69,77,60,38,69,80,76,47,Data Scientist
64,41,47,68,88,74,59,71,49,47,78,66,64,73,35,UI UX Designer
64,55,74,61,56,66,49,72,58,38,48,90,76,63,65,Cloud DevOps Engineer
81,40,67,77,87,69,47,68,60,47,87,61,73,58,53,UI UX Designer
79,62,79,79,52,73,66,60,41,58,38,84,47,73,40,Software Engineer
61,74,90,71,48,81,40,85,48,75,42,73,69,51,62,Data Analyst
61,45,87,76,44,54,44,81,63,62,32,85,66,83,69,Cybersecurity Analyst
92,90,75,83,49,53,53,68,73,33,50,89,69,80,50,Machine Learning Engineer
63,52,75,83,81,88,83,51,54,80,49,67,95,70,67,Product Manager
75,59,81,85,57,76,52,79,51,62,40,70,84,72,53,Cloud DevOps Engineer
70,65,65,83,71,41,53,64,67,50,37,75,58,75,52,Software Engineer
73,53,56,69,51,80,47,67,64,49,44,68,78,81,35,Software Engineer
77,69,80,89,58,57,68,71,56,45,49,95,68,71,54,Cloud DevOps Engineer
38,73,78,62,53,79,72,67,86,75,51,42,71,61,41,Business Analyst
42,53,43,53,87,61,41,79,54,33,80,85,78,61,56,UI UX Designer
43,55,65,54,95,73,48,63,62,46,91,51,64,69,74,UI UX Designer
43,45,39,75,93,55,32,82,65,54,83,81,61,67,58,UI UX Designer
74,84,84,78,71,60,50,74,96,37,27,70,53,85,69,AI Researcher
78,59,76,66,61,90,75,66,55,91,66,59,82,45,44,Business Analyst
84,68,70,73,52,68,57,56,61,56,28,82,59,70,44,Software Engineer
100,74,79,87,52,66,41,73,71,60,34,84,71,59,59,Machine Learning Engineer
74,79,64,88,62,54,70,54,69,58,38,89,63,68,55,Software Engineer
63,74,75,76,60,64,46,80,76,47,44,88,65,65,40,Data Scientist
91,57,87,92,65,78,35,60,53,55,34,84,77,71,55,Software Engineer
38,50,83,76,75,73,77,56,62,84,47,57,73,47,61,Business Analyst
83,48,80,67,52,58,63,79,71,45,40,80,46,86,57,Cybersecurity Analyst
53,67,70,72,66,79,53,68,64,67,31,78,76,71,61,Business Analyst
76,53,68,76,44,59,50,87,78,53,42,56,62,92,35,Cybersecurity Analyst
70,69,81,67,48,88,67,77,69,84,40,69,70,59,59,Business Analyst
85,62,74,73,60,73,61,90,44,52,29,90,65,53,52,Cloud DevOps Engineer
66,59,65,79,49,46,56,81,67,53,29,73,42,91,50,Cybersecurity Analyst
51,53,76,61,65,84,55,91,61,64,42,59,51,64,48,Data Analyst
52,59,91,71,67,81,73,78,58,69,28,43,71,37,50,Business Analyst
83,87,86,88,67,67,40,78,91,54,38,77,50,92,36,AI Researcher
87,62,87,65,71,58,61,66,71,44,34,89,64,67,64,Software Engineer
83,60,66,89,72,58,52,57,72,55,64,71,62,67,58,Software Engineer
51,60,76,66,79,78,63,85,46,69,56,54,74,68,67,Data Analyst
53,61,69,73,57,44,35,89,48,35,22,68,62,81,84,Cybersecurity Analyst
66,73,88,74,61,63,55,78,68,36,36,86,80,84,53,Data Scientist
91,93,79,83,65,48,66,65,60,48,55,90,69,68,56,Machine Learning Engineer
84,72,94,82,60,58,38,79,72,47,52,57,48,68,58,Data Scientist
44,44,65,68,66,91,83,69,61,74,58,66,87,44,47,Product Manager
67,64,50,67,66,68,56,56,60,48,33,90,73,63,52,Software Engineer
67,65,87,55,56,64,69,86,62,69,35,77,83,66,64,Data Analyst
70,91,87,76,56,57,61,67,64,55,27,89,53,67,58,Data Scientist
68,61,83,56,65,100,77,68,83,82,48,58,70,38,60,Business Analyst
70,76,73,82,49,75,43,83,63,52,51,74,63,74,46,Data Analyst
38,54,88,74,57,89,75,66,73,70,50,63,81,61,50,Business Analyst
52,44,61,53,87,60,57,72,53,33,95,63,69,58,38,UI UX Designer
57,75,87,75,63,78,64,76,63,88,58,59,56,76,45,Business Analyst
79,89,69,85,54,69,46,81,71,58,59,80,65,93,59,Machine Learning Engineer
70,94,83,81,69,47,44,65,88,33,50,73,34,80,68,AI Researcher
93,82,85,80,66,68,51,69,96,30,40,66,46,87,53,AI Researcher
58,52,81,69,52,67,48,90,60,34,24,83,48,85,53,Cybersecurity Analyst
73,73,83,86,59,58,54,76,69,58,55,77,63,74,60,Data Scientist
83,82,95,74,72,43,29,71,79,49,38,89,53,84,57,AI Researcher
81,74,91,73,65,56,46,75,94,42,51,90,69,82,55,AI Researcher
83,78,84,86,66,56,53,75,69,68,56,66,64,74,50,Data Scientist
63,82,85,67,68,52,68,70,68,44,45,69,61,83,48,Data Scientist
63,85,80,60,67,52,42,76,75,64,54,67,69,61,77,Data Scientist
95,57,59,82,68,77,47,75,60,46,54,83,51,78,66,Software Engineer
58,73,85,76,53,61,55,57,82,47,42,72,57,59,52,Data Scientist
86,77,63,84,55,68,31,64,54,52,50,72,59,64,43,Software Engineer
86,93,73,83,53,68,45,72,79,53,48,87,58,65,58,Machine Learning Engineer
52,54,79,76,74,77,83,62,73,83,51,73,86,47,62,Product Manager
46,59,81,62,61,80,80,80,60,81,55,63,61,77,42,Business Analyst
82,93,89,97,60,73,64,75,99,41,38,78,44,87,66,AI Researcher
47,53,62,74,70,92,81,62,46,90,67,65,73,43,60,Product Manager
80,63,72,82,57,62,49,66,65,50,43,82,70,63,48,Cloud DevOps Engineer
65,54,69,75,54,58,61,82,67,46,33,73,67,81,64,Cybersecurity Analyst
77,59,72,71,58,52,54,69,38,58,22,89,68,61,63,Cloud DevOps Engineer
39,60,74,77,35,85,49,70,56,79,30,75,62,47,70,Business Analyst
46,70,67,78,70,84,76,68,56,77,73,70,87,51,63,Product Manager
43,62,75,69,65,80,87,62,53,73,62,60,68,43,63,Product Manager
88,83,78,100,77,59,44,73,77,36,41,94,46,75,72,Machine Learning Engineer
48,33,57,53,96,88,58,81,57,32,86,61,65,59,55,UI UX Designer
29,69,92,74,42,85,58,73,68,86,56,61,73,65,51,Business Analyst
